res_id,wave,east,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn,hate_justified,MateComp.cont,JobComp.cont,LifeSatis.cont,pop_15_44_muni_gendergap_2015,age,singdivsep,age_group,gender,state,citizenship,marital,religion,eduyrs,occupation,income,household_size,self_econ,distance_ref,settle_ref,lrscale,afd,muslim_ind,afd_ind,contact_ind,refugee_ind,list,treatment_list,outcome_list,ref_integrating,ref_citizenship,ref_reduce,ref_moredone,ref_cultgiveup,ref_economy,ref_crime,ref_terror,ref_loc_services,ref_loc_economy,ref_loc_crime,ref_loc_culture,ref_loc_islam,ref_loc_schools,ref_loc_housing,ref_loc_wayoflife,women_role
461814043,1,0,1,NA,NA,2,2,NA,NA,NA,NA,28,1,18-29,Male,Hessen,1,"Single, without partner","No, I don't feel close to any religion",NA,Unskilled worker,"1,000 to below 1,500 <80>",2,2,3-5 kilometers,1000 and more,5,0,0.875,0.3333333333333333,0.5,1,NA,Scenario 2,2,4,3,3,4,3,3,3,3,4,4,3,2,3,4,4,3,3
401314149,1,0,2,NA,NA,2,3,NA,NA,NA,NA,23,0,18-29,Male,Hessen,0,Married,Other non-Christian religion,NA,Unskilled worker,"1,500 to below 2,000 <80>",3,6,11-20 kilometers,250 <96> 499,3,0,0.875,0.6666666666666666,0.5,1,NA,Scenario 2,2,3,3,3,3,3,3,3,3,3,2,4,3,2,2,2,3,3
497031141,1,0,1,NA,NA,2,1,NA,NA,NA,NA,20,1,18-29,Male,Niedersachsen,1,"Single, without partner",Roman Catholic,NA,"In schooling / vocational training, student",No answer,1,5,3-5 kilometers,250 <96> 499,4,1,0.25,0,0.5,0.75,NA,Scenario 1,2,2,3,3,3,2,3,3,4,4,3,3,2,3,4,4,4,3
497141547,1,0,1,NA,NA,1,1,NA,NA,NA,NA,31,0,30-39,Female,Nordrhein-Westfalen,1,Married,"Christian, but not close to a particular religious community",NA,Employee in high position,"5,000 or more <80>",2,7,Don't know,500 <96> 999,4,0,0.25,0,0.16666666666666666,0.125,NA,Scenario 2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,1
401814244,1,0,2,NA,NA,2,1,NA,NA,NA,NA,53,1,50-59,Female,Bayern,1,"Single, without partner","Christian, but not close to a particular religious community",NA,Skilled worker,"1,000 to below 1,500 <80>",1,1,Don't know,1 <96> 49,5,0,0.75,0.6666666666666666,0.5,0.875,NA,Scenario 1,2,3,4,4,4,2,4,4,3,4,4,3,2,3,4,4,3,3
497305346,1,1,1,NA,NA,2,1,NA,NA,NA,NA,34,0,30-39,Female,Sachsen-Anhalt,1,Married,"No, I don't feel close to any religion",NA,Unskilled worker,"1,500 to below 2,000 <80>",2,3,3-5 kilometers,250 <96> 499,5,80,0.5,1,0.6666666666666666,0.875,NA,Scenario 2,3,3,3,4,4,4,2,3,4,4,3,3,2,3,3,3,3,1
497329341,1,0,1,NA,NA,1,1,NA,NA,NA,NA,44,0,40-49,Female,Hessen,1,"With partner, living together",Protestant,NA,Permanently sick or disabled,below 500 <80>,2,4,Don't know,250 <96> 499,3,1,0.125,0,0.16666666666666666,0.5,NA,Scenario 1,2,2,2,3,3,2,1,3,3,3,1,2,1,1,4,3,1,3
413505246,1,1,2,NA,NA,2,2,NA,NA,NA,NA,54,0,50-59,Female,Th<fc>ringen,1,Widowed,Other non-Christian religion,NA,Employee in low / medium position,"1,000 to below 1,500 <80>",1,4,Less than 3 kilometer,50 <96> 249,2,47,1,1,0.16666666666666666,1,NA,Scenario 2,2,4,3,4,4,3,3,4,4,3,3,4,3,4,4,3,3,4
403332340,1,1,3,NA,NA,1,3,NA,NA,NA,NA,48,1,40-49,Female,Th<fc>ringen,1,Divorced / separated,"No, I don't feel close to any religion",NA,Skilled worker,No answer,1,5,3-5 kilometers,500 <96> 999,6,7,0.875,1,0.5,0.875,NA,Scenario 2,2,3,3,4,4,2,3,4,4,4,3,4,3,3,4,4,4,1
467128440,1,0,3,NA,NA,1,3,NA,NA,NA,NA,54,0,50-59,Male,Niedersachsen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"1,500 to below 2,000 <80>",1,5,6-10 kilometers,1000 and more,5,10,1,1,0.6666666666666666,0.875,NA,Scenario 1,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4
